,title,studios,type,genres,ratio_rank,completed_count,start_date,anime_id
13066,Dragon Ball Z: Summer Vacation Special,Toei Animation,Special,Action|Adventure|Comedy|Fantasy|Martial Arts|Super Power|Shounen,5101.0,8529,1992,22695
13067,Shakugan no Shana-tan S,J.C.Staff,Special,Comedy|Parody,3757.0,15600,2009,7375
13068,Papa no Iukoto wo Kikinasai!: Pokkapoka,feel.,Special,Comedy|Romance|Slice of Life,2350.0,30919,2012,12673
13069,Dragon Ball Z: The Real 4-D,,Special,Action|Fantasy|Super Power|Shounen,6900.0,3790,2016,33947
13070,86 Part 2 Recaps,A-1 Pictures,Special,Action|Drama|Sci-Fi|Mecha|Military,4573.0,6763,2021,50475
13071,Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,Toei Animation,Special,Action|Comedy|Fantasy|Sci-Fi|Super Power|Shounen,1541.0,36305,2011,11359
13072,Ore no Imouto ga Konnani Kawaii Wake ga Nai.: Ore no Imouto ga Konnani Eroge na Wake Nai,,Special,Comedy|Romance,6095.0,4330,2014,23363
13073,Kyoto Animation: Megane-hen,Kyoto Animation,Special,Supernatural,5119.0,8943,2012,17813
13074,Tamako Market Specials,Kyoto Animation,Special,Comedy,4152.0,17251,2013,17879
13075,Pandora Hearts Omake,Xebec,Special,Comedy,2339.0,30043,2009,6896
13076,Kimi ga Nozomu Eien: Gundam Parody,,Special,Sci-Fi|Mecha|Parody|Space,7939.0,3574,2004,9170
13077,Inferno Cop Specials,Trigger,Special,Action|Comedy,7495.0,2090,2015,31035
13078,Inugami-san to Nekoyama-san: Nekoyama-san to Onsen Ryokou,Seven,Special,Comedy|Girls Love|School,4423.0,12098,2014,25861
13079,Soul Eater: Late Night Show,Bones,Special,Action|Comedy|Fantasy,4098.0,11879,2008,21195
13080,.hack//Unison,Bee Train,Special,Adventure|Comedy|Fantasy|Sci-Fi|Game,3955.0,16057,2003,1487
13081,Nissan Serena x One Piece 3D: Mugiwara Chase - Sennyuu!! Sauzando Sanii-gou,Toei Animation,Special,Comedy|Fantasy|Shounen,5368.0,6633,2011,20871
13082,Kyoukai no Kanata: Shinonome,Kyoto Animation,Special,Fantasy|Slice of Life|Supernatural,729.0,84015,2014,23385
13083,Scratch x One Piece Film: Gold,,Special,Fantasy|Shounen,6103.0,4146,2016,36240
13084,Aldnoah.Zero Extra Archives,A-1 Pictures|TROYCA,Special,Action|Sci-Fi|Mecha,4809.0,7885,2015,29223
13085,Air Gear Special,Toei Animation,Special,Sports|Shounen,1984.0,36769,2007,3791
13086,One Punch Man 2nd Season Specials,J.C.Staff,Special,Action|Comedy|Sci-Fi|Supernatural|Parody|Super Power,1175.0,63751,2019,39705
13087,Kuragehime: Soreike! Amars Tankentai,Brain's Base,Special,Adventure|Comedy|Josei,7309.0,5506,2010,10391
13088,Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter,CloverWorks,Special,Action|Fantasy|Supernatural,1550.0,43873,2019,40206
13089,Fate/Grand Order,Lay-duce,Special,Action|Fantasy,3457.0,0,2014,36064
13090,3-gatsu no Lion Recap,Shaft,Special,Drama,3561.0,11347,2016,34647
13091,Biohazard 4D-Executer,,Special,Action|Adventure|Horror|Military,8150.0,3016,2000,5624
13092,Kuroko no Basket 2nd Season NG-shuu,Production I.G,Special,Comedy|Sports,1464.0,46013,2014,22673
13093,Hatsukoi Limited.: Gentei Shoujo,J.C.Staff,Special,Comedy|Ecchi|School|Shounen,4122.0,11263,2009,6882
13094,"Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.",J.C.Staff,Special,Comedy|Drama|Romance|Sci-Fi|Slice of Life,2096.0,33516,2014,23447
13095,Gokujo.: Souda Onsen ni Ikou!!,LMD,Special,Comedy|Girls Love|Ecchi,7016.0,3533,2013,19431
13096,Imanara Maniau! Log Horizon,Satelight,Special,Action|Adventure|Fantasy|Shounen,3798.0,12663,2013,21235
13097,Darwin's Game: Log Line,Nexus,Special,Action|Mystery|Shounen,5118.0,7781,2020,41194
13098,Ookami Shoujo to Kuro Ouji Recap,TYO Animations,Special,Comedy|Romance|School|Shoujo,4277.0,10764,2014,29129
13099,Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue Specials,Brain's Base,Special,Comedy|Ecchi,8455.0,3246,2014,30739
13100,God Eater Prologue,ufotable,Special,Action|Fantasy|Sci-Fi|Military,3483.0,23806,2009,10470
13101,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Lerche,Special,Comedy|Romance|School,3917.0,11247,2015,30813
13102,Rozen Maiden: Meitantei Kunkun - Duell Walzer,Nomad,Special,Comedy|Mystery,4530.0,12400,2006,2237
13103,Koukaku Kidoutai: Stand Alone Complex - Solid State Society,Production I.G,Special,Mystery|Sci-Fi|Mecha|Military|Police|Seinen,674.0,60444,2006,1566
13104,One Piece: Episode of Luffy - Hand Island no Bouken,Toei Animation,Special,Action|Adventure|Comedy|Fantasy|Super Power|Shounen,1692.0,36283,2012,16239
13105,Robot Girls Z,Toei Animation,Special,Comedy|Mecha|Parody,4873.0,9210,2014,19799
13106,Tsuki ga Kirei: Michinori,feel.,Special,Romance|School,3745.0,12755,2017,35602
13107,Arcade Gamer Fubuki Extra,Shaft,Special,Action|Adventure|Comedy|Ecchi|Game|Parody|School,9811.0,1229,2008,5715
13108,Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2,8bit,Special,Action|Adventure|Comedy|Fantasy|Demons,1894.0,28648,2021,49318
13109,Net-juu no Susume Special,Signal.MD,Special,Comedy|Romance|Game,933.0,81014,2017,36043
13110,Code Geass: Hangyaku no Lelouch R2 Omake Flash,Sunrise|Bandai Visual,Special,Parody,6356.0,8498,2008,9591
13111,Sword Art Online II: Debriefing,A-1 Pictures,Special,Action|Adventure|Fantasy|Game,2486.0,90750,2014,27891
13112,Ore no Imouto ga Konnani Kawaii Wake ga Nai.: SD Chara ni Yoru Short Movie,,Special,Comedy,5842.0,5070,2013,19845
13113,AIKa Zero Picture Drama,Studio Fantasia,Special,Ecchi,8015.0,2699,2009,7453
13114,Yoku Wakaru Mahouka! - Saiseitte Nani?,,Special,Comedy,5330.0,7129,2015,31448
13115,Zekkyou Gakkyuu,,Special,Supernatural|Shoujo,8390.0,2970,2012,15891
13116,Accel World: Acchel World.,J.C.Staff,Special,Comedy|Sci-Fi,4306.0,28000,2012,13859
13117,Amagi Brilliant Park: Wakuwaku Mini Theater - Rakugaki Backstage,Kyoto Animation,Special,Comedy,3300.0,26216,2014,30056
13118,One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,Toei Animation,Special,Action|Adventure|Comedy|Drama|Fantasy|Super Power|Shounen,1945.0,27600,2015,31289
13119,Mizu no Kotoba,Studio Rikka,Special,Drama|Sci-Fi|Psychological,3522.0,17281,2002,2235
13120,Pokemon: Yadoking no Ichinichi,OLM,Special,Fantasy|Kids,5580.0,9624,2000,6385
